Hash: AE8D4B20, Key: Line2359.3F392, Value: You were a fool to trust me!
Hash: E4FD9E2D, Key: VoiceDir2359.3F392, Value: Contempt
Hash: 7FF776BA, Key: Line2362.3F392, Value: You are far too trusting!
Hash: B667C9C7, Key: VoiceDir2362.3F392, Value: Contempt
Hash: 66E62CFD, Key: Line2365.3F392, Value: Fell right into my trap.
Hash: 9D56800A, Key: VoiceDir2365.3F392, Value: Contempt
Hash: FD49A4BB, Key: Line2350.EDC78, Value: You were a fool to trust me!
Hash: 33B9F7C8, Key: VoiceDir2350.EDC78, Value: Contempt
Hash: E4385AFE, Key: Line2353.EDC78, Value: You are far too trusting!
Hash: 1AA8AE0B, Key: VoiceDir2353.EDC78, Value: Contempt
Hash: CB271141, Key: Line2356.EDC78, Value: Fell right into my trap.
Hash: 0197644E, Key: VoiceDir2356.EDC78, Value: Contempt
Hash: 5E020C9C, Key: Line2341.EDC79, Value: You were a fool to trust me!
Hash: 94725FA9, Key: VoiceDir2341.EDC79, Value: Contempt
Hash: 44F0C2DF, Key: Line2344.EDC79, Value: You are far too trusting!
Hash: 7B6115EC, Key: VoiceDir2344.EDC79, Value: Contempt
Hash: 2BDF7922, Key: Line2347.EDC79, Value: Fell right into my trap.
Hash: 624FCC2F, Key: VoiceDir2347.EDC79, Value: Contempt
Hash: B5250EBE, Key: Line2098.3F381, Value: You were a fool to trust me!
Hash: EB9561CB, Key: VoiceDir2098.3F381, Value: Contempt
Hash: C0795A8F, Key: Line2101.3F381, Value: You are far too trusting!
Hash: F6E9AD9C, Key: VoiceDir2101.3F381, Value: Contempt
Hash: A76810D2, Key: Line2104.3F381, Value: Fell right into my trap.
Hash: DDD863DF, Key: VoiceDir2104.3F381, Value: Contempt
Hash: 91DF43C5, Key: Line2107.EDC7B, Value: You were a fool to trust me!
Hash: C84F96D2, Key: VoiceDir2107.EDC7B, Value: Contempt
Hash: 63496F5F, Key: Line2110.EDC7B, Value: You are far too trusting!
Hash: 99B9C26C, Key: VoiceDir2110.EDC7B, Value: Contempt
Hash: 4A3825A2, Key: Line2113.EDC7B, Value: Fell right into my trap.
Hash: 80A878AF, Key: VoiceDir2113.EDC7B, Value: Contempt
Hash: 3126DBE6, Key: Line2116.EDC7C, Value: You were a fool to trust me!
Hash: 67972EF3, Key: VoiceDir2116.EDC7C, Value: Contempt
Hash: 18159229, Key: Line2119.EDC7C, Value: You are far too trusting!
